sku,description,ean,url,brand,title,image_urls,currency,mfr,current_price,price
282155,ASUS ZenFone Selfie Dual SIM - ZD551KL Features,4712900164886,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-chic-pink-282155/,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://i2.expansys.com/img/b/282155/asus-zenfone-selfie-dual-sim-zd551kl.jpg,SGD,889349164884,SG$354.99,SG$354.99
282154,ASUS ZenFone Selfie Dual SIM - ZD551KL Features,4712900125719,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-aqua-blue-282154/,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://i1.expansys.com/img/b/282154/asus-zenfone-selfie-dual-sim-zd551kl.jpg,SGD,889349125717,SG$354.99,SG$354.99
282145,ASUS Zenfone 2 Laser Dual SIM ZE550KL Features,4712900138528,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-white-282145/,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,http://i2.expansys.com/img/b/282145/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,SGD,889349138526,SG$264.99,SG$264.99
282091,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML Features,4712900150964,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-purple-282091/,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,http://i1.expansys.com/img/b/282091/asus-zenfone-2-deluxe-dual-sim-ze551ml.jpg,SGD,889349150962,SG$344.99,SG$344.99
288281,Sony Xperia X Features,AP_F5121_LMG,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-lime-gold-288281/,,Sony Xperia X ,http://i1.expansys.com/img/b/288281/sony-xperia-x.jpg,,,,
288261,Samsung Galaxy S7 edge Features,AP_GS7EDGE_BLK,http://www.expansys.com.sg/samsung-galaxy-s7-edge-unlocked-32gb-black-onyx-288261/,,Samsung Galaxy S7 edge ,http://i1.expansys.com/img/b/288261/samsung-galaxy-s7-edge.jpg,,,,
269445,TDK Stereo Headphones EB120TP Features,020356621247,http://www.expansys.com.sg/tdk-eb120tp-headphones-with-travel-pack-269445/,,TDK Stereo Headphones EB120TP ,http://i2.expansys.com/img/b/269445/tdk-eb120tp-headphones-with-travel-pack.jpg,SGD,5055887312758,SG$17.99,SG$17.99
266781,Jabra Move Wireless Features,5707055038327,http://www.expansys.com.sg/jabra-move-wireless-blue-266781/,,Jabra Move Wireless ,http://i1.expansys.com/img/b/266781/jabra-move-wireless.jpg,SGD,5707055038341,SG$90.99,SG$90.99
288282,Sony Xperia X Features,AP_F5121_RSG,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-rose-gold-288282/,,Sony Xperia X ,http://i1.expansys.com/img/b/288282/sony-xperia-x.jpg,,,,
282026,ASUS ZenFone Selfie Dual SIM - ZD551KL Features,4712900125696,http://www.expansys.com.sg/asus-zenfone-selfie-dual-sim-zd551kl-unlocked-lte-32gb-pure-white-282026/,,ASUS ZenFone Selfie Dual SIM - ZD551KL ,http://i2.expansys.com/img/b/282026/asus-zenfone-selfie-dual-sim-zd551kl.jpg,SGD,889349125694,SG$344.99,SG$344.99
280290,HTC Desire EYE M910n - EMEA version Features,4718487664672,http://www.expansys.com.sg/htc-desire-eye-m910n-emea-version-unlocked-lte-16gb-red-280290/,HTC,HTC Desire EYE M910n - EMEA version ,http://i1.expansys.com/img/b/280290/htc-desire-eye-m910n-emea-version.jpg,SGD,AP_HTC_DesireEye_16GB_REDM910n,SG$489.99,SG$489.99
263541,B-Stock Samsung GALAXY Mega 5.8 DUOS GT-I9152 Features,AP_B-Stock_249660,http://www.expansys.com.sg/b-stock-samsung-galaxy-mega-58-duos-gt-i9152-unlocked-8gb-black-refurbished-263541/,,B-Stock Samsung GALAXY Mega 5.8 DUOS GT-I9152 ,http://i1.expansys.com/img/b/263541/b-stock-samsung-galaxy-mega-58-duos-gt-i9152.jpg,SGD,,SG$284.99,SG$284.99
